treap_insert,treap_search_after_insertion,treap_remove,treap_search_after_removal,treap_search,bst_insert,bst_search_after_insertion,bst_remove,bst_search_after_removal,bst_search,avl_insert,avl_search_after_insertion,avl_remove,avl_search_after_removal,avl_search
184.141300,152.730300,1931.333900,17.594000,1516.572200,149.070200,130.208200,53.727500,17.624600,1303.683900,258.839200,110.918500,74.928200,17.645100,1112.253700
167.163000,152.207300,17.293000,17.286800,1514.549600,142.052300,134.534900,17.653700,17.318900,1304.760700,256.791100,114.963800,16.996500,17.279000,1112.687600
167.127000,151.394900,17.503200,20.303700,1514.299800,138.299400,130.613300,17.337400,17.323700,1304.177800,247.696800,111.361500,16.985900,17.316400,1112.470100
171.909600,155.086700,17.799300,17.560600,1514.068300,140.224600,131.346400,17.507800,17.928100,1309.317400,247.818600,111.540900,17.601300,18.173900,1113.984900
166.855200,152.501800,17.277700,17.316000,1531.594200,140.285800,135.908700,17.279900,17.337300,1330.208200,251.269100,114.385700,16.998200,17.305800,1131.748300
167.098000,151.499600,17.536000,17.560800,1512.574000,138.201600,131.991700,17.655900,17.305800,1304.200500,247.675600,111.583100,17.006700,17.370600,1112.769300
168.226900,151.806500,17.744400,17.641900,1514.018100,139.928100,133.566200,17.267600,17.638700,1303.812200,251.406400,113.293800,17.013200,17.317200,1125.525700
172.779900,151.342700,17.563200,17.814000,1513.497200,138.332100,133.083500,27.838800,22.255700,1304.997100,253.666900,112.965700,17.517000,17.698800,1112.833800
171.935400,155.453900,17.529600,17.623200,1514.098900,148.836500,131.135500,17.307600,17.548700,1320.817600,248.881300,111.545200,20.310800,17.312900,1129.847100
170.254100,151.580000,17.739400,17.292200,1516.256500,138.205500,131.381200,17.325000,17.328000,1327.002000,248.513800,111.419100,16.992300,17.288800,1117.537700
